 1.50040163e-03  1.50040163e-03  1.50040163e-03  1.05000000e+01  1.50040163e-03  1.50000000e+01  1.50040163e-03  1.20017851e+01  1.50040163e-03  1.49181634e-01  1.50040163e-03  7.52942637e-02 
 1.50040233e-03  1.50040233e-03  1.50040233e-03  5.25000000e+00  1.50040233e-03  1.50000000e+01  1.50040233e-03  1.20017992e+01  1.50040233e-03  1.48881212e-01  1.50040233e-03  7.55024281e-02 
 1.50040303e-03  1.50040303e-03  1.50040303e-03  0.00000000e+00  1.50040303e-03  1.50000000e+01  1.50040303e-03  1.20018133e+01  1.50040303e-03  1.48218746e-01  1.50040303e-03  7.57105868e-02 
 1.50040315e-03  1.50040315e-03  1.50040315e-03  0.00000000e+00  1.50040315e-03  1.50000000e+01  1.50040315e-03  1.20018157e+01  1.50040315e-03  1.48071354e-01  1.50040315e-03  7.57469603e-02 
 1.50040339e-03  1.50040339e-03  1.50040339e-03  0.00000000e+00  1.50040339e-03  1.50000000e+01  1.50040339e-03  1.20018206e+01  1.50040339e-03  1.47776571e-01  1.50040339e-03  7.58197067e-02 
 1.50040388e-03  1.50040388e-03  1.50040388e-03  0.00000000e+00  1.50040388e-03  1.50000000e+01  1.50040388e-03  1.20018302e+01  1.50040388e-03  1.47187010e-01  1.50040388e-03  7.59651975e-02 
 1.50040486e-03  1.50040486e-03  1.50040486e-03  0.00000000e+00  1.50040486e-03  1.50000000e+01  1.50040486e-03  1.20018492e+01  1.50040486e-03  1.46007916e-01  1.50040486e-03  7.62561710e-02 
 1.50040682e-03  1.50040682e-03  1.50040682e-03  0.00000000e+00  1.50040682e-03  1.50000000e+01  1.50040682e-03  1.20018860e+01  1.50040682e-03  1.43649834e-01  1.50040682e-03  7.68380849e-02 
 1.50041073e-03  1.50041073e-03  1.50041073e-03  0.00000000e+00  1.50041073e-03  1.50000000e+01  1.50041073e-03  1.20019548e+01  1.50041073e-03  1.38934097e-01  1.50041073e-03  7.80017815e-02 
 1.50041856e-03  1.50041856e-03  1.50041856e-03  0.00000000e+00  1.50041856e-03  1.50000000e+01  1.50041856e-03  1.20020735e+01  1.50041856e-03  1.29504347e-01  1.50041856e-03  8.03286598e-02 
 1.50043422e-03  1.50043422e-03  1.50043422e-03  0.00000000e+00  1.50043422e-03  1.50000000e+01  1.50043422e-03  1.20022350e+01  1.50043422e-03  1.10651808e-01  1.50043422e-03  8.49804371e-02 
 1.50045422e-03  1.50045422e-03  1.50045422e-03  0.00000000e+00  1.50045422e-03  1.50000000e+01  1.50045422e-03  1.20022944e+01  1.50045422e-03  8.65834208e-02  1.50045422e-03  9.09189640e-02 
 1.50047422e-03  1.50047422e-03  1.50047422e-03  0.00000000e+00  1.50047422e-03  1.50000000e+01  1.50047422e-03  1.20021891e+01  1.50047422e-03  6.25306928e-02  1.50047422e-03  9.68537133e-02 
 1.50048711e-03  1.50048711e-03  1.50048711e-03  0.00000000e+00  1.50048711e-03  1.50000000e+01  1.50048711e-03  1.20020339e+01  1.50048711e-03  4.70367999e-02  1.50048711e-03  1.00676862e-01 
 1.50050000e-03  1.50050000e-03  1.50050000e-03  1.62630326e-09  1.50050000e-03  1.50000000e+01  1.50050000e-03  1.20018104e+01  1.50050000e-03  3.15496107e-02  1.50050000e-03  1.04498648e-01 
 1.50050020e-03  1.50050020e-03  1.50050020e-03  1.50000000e+00  1.50050020e-03  1.50000000e+01  1.50050020e-03  1.20018064e+01  1.50050020e-03  3.13393715e-02  1.50050020e-03  1.04557935e-01 
 1.50050060e-03  1.50050060e-03  1.50050060e-03  4.50000000e+00  1.50050060e-03  1.50000000e+01  1.50050060e-03  1.20017984e+01  1.50050060e-03  3.09908960e-02  1.50050060e-03  1.04676507e-01 
 1.50050116e-03  1.50050116e-03  1.50050116e-03  8.68126401e+00  1.50050116e-03  1.50000000e+01  1.50050116e-03  1.20017871e+01  1.50050116e-03  3.06948201e-02  1.50050116e-03  1.04841765e-01 
 1.50050158e-03  1.50050158e-03  1.50050158e-03  1.18406320e+01  1.50050158e-03  1.50000000e+01  1.50050158e-03  1.20017786e+01  1.50050158e-03  3.06224679e-02  1.50050158e-03  1.04966633e-01 
 1.50050200e-03  1.50050200e-03  1.50050200e-03  1.50000000e+01  1.50050200e-03  1.50000000e+01  1.50050200e-03  1.20017701e+01  1.50050200e-03  3.06822715e-02  1.50050200e-03  1.05091499e-01 
 1.50050208e-03  1.50050208e-03  1.50050208e-03  1.50000000e+01  1.50050208e-03  1.50000000e+01  1.50050208e-03  1.20017684e+01  1.50050208e-03  3.07074477e-02  1.50050208e-03  1.05116472e-01 
 1.50050225e-03  1.50050225e-03  1.50050225e-03  1.50000000e+01  1.50050225e-03  1.50000000e+01  1.50050225e-03  1.20017651e+01  1.50050225e-03  3.07578000e-02  1.50050225e-03  1.05166418e-01 
 1.50050259e-03  1.50050259e-03  1.50050259e-03  1.50000000e+01  1.50050259e-03  1.50000000e+01  1.50050259e-03  1.20017583e+01  1.50050259e-03  3.08585040e-02  1.50050259e-03  1.05266310e-01 
 1.50050326e-03  1.50050326e-03  1.50050326e-03  1.50000000e+01  1.50050326e-03  1.50000000e+01  1.50050326e-03  1.20017449e+01  1.50050326e-03  3.10599094e-02  1.50050326e-03  1.05466090e-01 
 1.50050461e-03  1.50050461e-03  1.50050461e-03  1.50000000e+01  1.50050461e-03  1.50000000e+01  1.50050461e-03  1.20017185e+01  1.50050461e-03  3.14627097e-02  1.50050461e-03  1.05865641e-01 
 1.50050731e-03  1.50050731e-03  1.50050731e-03  1.50000000e+01  1.50050731e-03  1.50000000e+01  1.50050731e-03  1.20016672e+01  1.50050731e-03  3.22682680e-02  1.50050731e-03  1.06664701e-01 
 1.50051270e-03  1.50051270e-03  1.50051270e-03  1.50000000e+01  1.50051270e-03  1.50000000e+01  1.50051270e-03  1.20015704e+01  1.50051270e-03  3.38792132e-02  1.50051270e-03  1.08262650e-01 
 1.50052348e-03  1.50052348e-03  1.50052348e-03  1.50000000e+01  1.50052348e-03  1.50000000e+01  1.50052348e-03  1.20014005e+01  1.50052348e-03  3.71004012e-02  1.50052348e-03  1.11457853e-01 
 1.50054348e-03  1.50054348e-03  1.50054348e-03  1.50000000e+01  1.50054348e-03  1.50000000e+01  1.50054348e-03  1.20011685e+01  1.50054348e-03  4.30718369e-02  1.50054348e-03  1.17381120e-01 
 1.50056348e-03  1.50056348e-03  1.50056348e-03  1.50000000e+01  1.50056348e-03  1.50000000e+01  1.50056348e-03  1.20010447e+01  1.50056348e-03  4.90397374e-02  1.50056348e-03  1.23300884e-01 
 1.50058348e-03  1.50058348e-03  1.50058348e-03  1.50000000e+01  1.50058348e-03  1.50000000e+01  1.50058348e-03  1.20010289e+01  1.50058348e-03  5.50039040e-02  1.50058348e-03  1.29216945e-01 
 1.50060348e-03  1.50060348e-03  1.50060348e-03  1.50000000e+01  1.50060348e-03  1.50000000e+01  1.50060348e-03  1.20011211e+01  1.50060348e-03  6.09641283e-02  1.50060348e-03  1.35129095e-01 
 1.50062348e-03  1.50062348e-03  1.50062348e-03  1.50000000e+01  1.50062348e-03  1.50000000e+01  1.50062348e-03  1.20013211e+01  1.50062348e-03  6.69201988e-02  1.50062348e-03  1.41037122e-01 
 1.50063726e-03  1.50063726e-03  1.50063726e-03  1.50000000e+01  1.50063726e-03  1.50000000e+01  1.50063726e-03  1.20015215e+01  1.50063726e-03  7.10190820e-02  1.50063726e-03  1.45102940e-01 
 1.50065103e-03  1.50065103e-03  1.50065103e-03  1.50000000e+01  1.50065103e-03  1.50000000e+01  1.50065103e-03  1.20017730e+01  1.50065103e-03  7.51158330e-02  1.50065103e-03  1.49166641e-01 
 1.50065123e-03  1.50065123e-03  1.50065123e-03  1.50000000e+01  1.50065123e-03  1.35000000e+01  1.50065123e-03  1.20017771e+01  1.50065123e-03  7.51753103e-02  1.50065123e-03  1.49195639e-01 
 1.50065163e-03  1.50065163e-03  1.50065163e-03  1.50000000e+01  1.50065163e-03  1.05000000e+01  1.50065163e-03  1.20017851e+01  1.50065163e-03  7.52942638e-02  1.50065163e-03  1.49181634e-01 
 1.50065233e-03  1.50065233e-03  1.50065233e-03  1.50000000e+01  1.50065233e-03  5.25000000e+00  1.50065233e-03  1.20017992e+01  1.50065233e-03  7.55024282e-02  1.50065233e-03  1.48881213e-01 
 1.50065303e-03  1.50065303e-03  1.50065303e-03  1.50000000e+01  1.50065303e-03  0.00000000e+00  1.50065303e-03  1.20018133e+01  1.50065303e-03  7.57105870e-02  1.50065303e-03  1.48218746e-01 
 1.50065315e-03  1.50065315e-03  1.50065315e-03  1.50000000e+01  1.50065315e-03  0.00000000e+00  1.50065315e-03  1.20018157e+01  1.50065315e-03  7.57469604e-02  1.50065315e-03  1.48071354e-01 
