 3.03417790e-01  3.03417790e-01  3.03417790e-01  2.85906842e+02  3.03417790e-01  2.19008158e+02  3.03417790e-01  6.57892806e+01 
 3.03467790e-01  3.03467790e-01  3.03467790e-01  2.88307839e+02  3.03467790e-01  2.21439453e+02  3.03467790e-01  6.57615715e+01 
 3.03517790e-01  3.03517790e-01  3.03517790e-01  2.90637701e+02  3.03517790e-01  2.23804121e+02  3.03517790e-01  6.57294236e+01 
 3.03567790e-01  3.03567790e-01  3.03567790e-01  2.92895852e+02  3.03567790e-01  2.26101614e+02  3.03567790e-01  6.56928126e+01 
 3.03617790e-01  3.03617790e-01  3.03617790e-01  2.95081736e+02  3.03617790e-01  2.28331402e+02  3.03617790e-01  6.56517155e+01 
 3.03667790e-01  3.03667790e-01  3.03667790e-01  2.97194813e+02  3.03667790e-01  2.30492971e+02  3.03667790e-01  6.56061104e+01 
 3.03717790e-01  3.03717790e-01  3.03717790e-01  2.99234561e+02  3.03717790e-01  2.32585826e+02  3.03717790e-01  6.55559769e+01 
 3.03767790e-01  3.03767790e-01  3.03767790e-01  3.01200478e+02  3.03767790e-01  2.34609486e+02  3.03767790e-01  6.55012956e+01 
 3.03817790e-01  3.03817790e-01  3.03817790e-01  3.03092078e+02  3.03817790e-01  2.36563492e+02  3.03817790e-01  6.54420484e+01 
 3.03867790e-01  3.03867790e-01  3.03867790e-01  3.04908894e+02  3.03867790e-01  2.38447398e+02  3.03867790e-01  6.53782184e+01 
 3.03917790e-01  3.03917790e-01  3.03917790e-01  3.06650479e+02  3.03917790e-01  2.40260780e+02  3.03917790e-01  6.53097901e+01 
 3.03967790e-01  3.03967790e-01  3.03967790e-01  3.08316402e+02  3.03967790e-01  2.42003230e+02  3.03967790e-01  6.52367493e+01 
 3.04017790e-01  3.04017790e-01  3.04017790e-01  3.09906253e+02  3.04017790e-01  2.43674359e+02  3.04017790e-01  6.51590828e+01 
 3.04067790e-01  3.04067790e-01  3.04067790e-01  3.11419639e+02  3.04067790e-01  2.45273797e+02  3.04067790e-01  6.50767792e+01 
 3.04117790e-01  3.04117790e-01  3.04117790e-01  3.12856187e+02  3.04117790e-01  2.46801192e+02  3.04117790e-01  6.49898279e+01 
 3.04167790e-01  3.04167790e-01  3.04167790e-01  3.14215543e+02  3.04167790e-01  2.48256213e+02  3.04167790e-01  6.48982200e+01 
 3.04217790e-01  3.04217790e-01  3.04217790e-01  3.15497370e+02  3.04217790e-01  2.49638548e+02  3.04217790e-01  6.48019478e+01 
 3.04267790e-01  3.04267790e-01  3.04267790e-01  3.16701354e+02  3.04267790e-01  2.50947905e+02  3.04267790e-01  6.47010052e+01 
 3.04317790e-01  3.04317790e-01  3.04317790e-01  3.17827196e+02  3.04317790e-01  2.52184112e+02  3.04317790e-01  6.45953933e+01 
 3.04367790e-01  3.04367790e-01  3.04367790e-01  3.18874618e+02  3.04367790e-01  2.53346746e+02  3.04367790e-01  6.44850989e+01 
 3.04417790e-01  3.04417790e-01  3.04417790e-01  3.19843364e+02  3.04417790e-01  2.54435653e+02  3.04417790e-01  6.43701234e+01 
