 time            time            v(rfp)          v(lop)          voutdiff       
 9.35000000e-09  9.35000000e-09  8.54613364e-01  1.15000000e+00 -8.29669264e-02 
 9.45000000e-09  9.45000000e-09  8.54637226e-01  1.15000000e+00 -8.34016752e-02 
 9.55000000e-09  9.55000000e-09  8.54660356e-01  1.15000000e+00 -8.38232634e-02 
 9.65000000e-09  9.65000000e-09  8.54682749e-01  1.15000000e+00 -8.42316251e-02 
 9.75000000e-09  9.75000000e-09  8.54704404e-01  1.15000000e+00 -8.46266968e-02 
 9.85000000e-09  9.85000000e-09  8.54725315e-01  1.15000000e+00 -8.50084168e-02 
 9.95000000e-09  9.95000000e-09  8.54745481e-01  1.15000000e+00 -8.53767256e-02 
 1.00500000e-08  1.00500000e-08  8.54764897e-01  1.15000000e+00 -8.57315659e-02 
 1.01500000e-08  1.01500000e-08  8.54783560e-01  1.15000000e+00 -8.60728822e-02 
 1.02500000e-08  1.02500000e-08  8.54801468e-01  1.15000000e+00 -8.64006215e-02 
 1.03500000e-08  1.03500000e-08  8.54818618e-01  1.15000000e+00 -8.67147326e-02 
 1.04500000e-08  1.04500000e-08  8.54835007e-01  1.15000000e+00 -8.70151667e-02 
 1.05500000e-08  1.05500000e-08  8.54850633e-01  1.15000000e+00 -8.73018769e-02 
 1.06500000e-08  1.06500000e-08  8.54865493e-01  1.15000000e+00 -8.75748185e-02 
 1.07500000e-08  1.07500000e-08  8.54879584e-01  1.15000000e+00 -8.78339492e-02 
 1.08500000e-08  1.08500000e-08  8.54892905e-01  1.15000000e+00 -8.80792285e-02 
 1.09500000e-08  1.09500000e-08  8.54905453e-01  1.15000000e+00 -8.83106182e-02 
 1.10500000e-08  1.10500000e-08  8.54917226e-01  1.15000000e+00 -8.85280824e-02 
 1.11500000e-08  1.11500000e-08  8.54928223e-01  1.15000000e+00 -8.87315871e-02 
 1.12500000e-08  1.12500000e-08  8.54938442e-01  1.15000000e+00 -8.89211008e-02 
 1.13500000e-08  1.13500000e-08  8.54947881e-01  1.15000000e+00 -8.90965939e-02 
 1.14500000e-08  1.14500000e-08  8.54956538e-01  1.15000000e+00 -8.92580390e-02 
 1.15500000e-08  1.15500000e-08  8.54964413e-01  1.15000000e+00 -8.94054112e-02 
 1.16500000e-08  1.16500000e-08  8.54971504e-01  1.15000000e+00 -8.95386874e-02 
 1.17500000e-08  1.17500000e-08  8.54977810e-01  1.15000000e+00 -8.96578469e-02 
 1.18500000e-08  1.18500000e-08  8.54983330e-01  1.15000000e+00 -8.97628712e-02 
 1.19500000e-08  1.19500000e-08  8.54988063e-01  1.15000000e+00 -8.98537439e-02 
 1.20500000e-08  1.20500000e-08  8.54992008e-01  1.15000000e+00 -8.99304509e-02 
 1.21500000e-08  1.21500000e-08  8.54995165e-01  1.15000000e+00 -8.99929803e-02 
 1.22500000e-08  1.22500000e-08  8.54997533e-01  1.15000000e+00 -9.00413223e-02 
 1.23500000e-08  1.23500000e-08  8.54999112e-01  1.15000000e+00 -9.00754695e-02 
 1.24500000e-08  1.24500000e-08  8.54999901e-01  1.15000000e+00 -9.00954164e-02 
 1.25500000e-08  1.25500000e-08  8.54999901e-01  1.15000000e+00 -9.01011600e-02 
 1.26500000e-08  1.26500000e-08  8.54999112e-01  1.15000000e+00 -9.00926995e-02 
 1.27500000e-08  1.27500000e-08  8.54997533e-01  1.15000000e+00 -9.00700360e-02 
 1.28500000e-08  1.28500000e-08  8.54995165e-01  1.15000000e+00 -9.00331732e-02 
 1.29500000e-08  1.29500000e-08  8.54992008e-01  1.15000000e+00 -8.99821168e-02 
 1.30500000e-08  1.30500000e-08  8.54988063e-01  1.15000000e+00 -8.99168746e-02 
 1.31500000e-08  1.31500000e-08  8.54983330e-01  1.15000000e+00 -8.98374569e-02 
 1.32500000e-08  1.32500000e-08  8.54977810e-01  1.15000000e+00 -8.97438761e-02 
 1.33500000e-08  1.33500000e-08  8.54971504e-01  1.15000000e+00 -8.96361465e-02 
 1.34500000e-08  1.34500000e-08  8.54964413e-01  1.15000000e+00 -8.95142851e-02 
 1.35500000e-08  1.35500000e-08  8.54956538e-01  1.15000000e+00 -8.93783108e-02 
 1.36500000e-08  1.36500000e-08  8.54947881e-01  1.15000000e+00 -8.92282446e-02 
 1.37500000e-08  1.37500000e-08  8.54938442e-01  1.15000000e+00 -8.90641101e-02 
 1.38500000e-08  1.38500000e-08  8.54928223e-01  1.15000000e+00 -8.88859326e-02 
 1.39500000e-08  1.39500000e-08  8.54917226e-01  1.15000000e+00 -8.86937400e-02 
 1.40500000e-08  1.40500000e-08  8.54905453e-01  1.15000000e+00 -8.84875621e-02 
 1.41500000e-08  1.41500000e-08  8.54892905e-01  1.15000000e+00 -8.82674310e-02 
 1.42500000e-08  1.42500000e-08  8.54879584e-01  1.15000000e+00 -8.80333810e-02 
 1.43500000e-08  1.43500000e-08  8.54865493e-01  1.15000000e+00 -8.77854485e-02 
 1.44500000e-08  1.44500000e-08  8.54850633e-01  1.15000000e+00 -8.75236721e-02 
 1.45500000e-08  1.45500000e-08  8.54835007e-01  1.15000000e+00 -8.72480925e-02 
 1.46500000e-08  1.46500000e-08  8.54818618e-01  1.15000000e+00 -8.69587528e-02 
 1.47500000e-08  1.47500000e-08  8.54801468e-01  1.15000000e+00 -8.66556978e-02 
 1.48500000e-08  1.48500000e-08  8.54783560e-01  1.15000000e+00 -8.63389749e-02 
 1.49500000e-08  1.49500000e-08  8.54764897e-01  1.15000000e+00 -8.60086334e-02 
 1.50500000e-08  1.50500000e-08  8.54745481e-01  1.15000000e+00 -8.56647247e-02 
 1.51500000e-08  1.51500000e-08  8.54725315e-01  1.15000000e+00 -8.53073024e-02 
 1.52500000e-08  1.52500000e-08  8.54704404e-01  1.15000000e+00 -8.49364223e-02 
 1.53500000e-08  1.53500000e-08  8.54682749e-01  1.15000000e+00 -8.45521421e-02 
 1.54500000e-08  1.54500000e-08  8.54660356e-01  1.15000000e+00 -8.41545217e-02 
 1.55500000e-08  1.55500000e-08  8.54637226e-01  1.15000000e+00 -8.37436231e-02 
 1.56500000e-08  1.56500000e-08  8.54613364e-01  1.15000000e+00 -8.33195105e-02 
 1.57500000e-08  1.57500000e-08  8.54588773e-01  1.15000000e+00 -8.28822499e-02 
 1.58500000e-08  1.58500000e-08  8.54563458e-01  1.15000000e+00 -8.24319096e-02 
 1.59500000e-08  1.59500000e-08  8.54537422e-01  1.15000000e+00 -8.19685599e-02 
 1.60500000e-08  1.60500000e-08  8.54510670e-01  1.15000000e+00 -8.14922730e-02 
 1.61500000e-08  1.61500000e-08  8.54483205e-01  1.15000000e+00 -8.10031232e-02 
 1.62500000e-08  1.62500000e-08  8.54455033e-01  1.15000000e+00 -8.05011871e-02 
 1.63500000e-08  1.63500000e-08  8.54426157e-01  1.15000000e+00 -7.99865429e-02 
 1.64500000e-08  1.64500000e-08  8.54396582e-01  1.15000000e+00 -7.94592710e-02 
 1.65500000e-08  1.65500000e-08  8.54366312e-01  1.15000000e+00 -7.89194539e-02 
 1.66500000e-08  1.66500000e-08  8.54335354e-01  1.15000000e+00 -7.83671757e-02 
 1.67500000e-08  1.67500000e-08  8.54303710e-01  1.15000000e+00 -7.78025229e-02 
 1.68500000e-08  1.68500000e-08  8.54271387e-01  1.15000000e+00 -7.72255838e-02 
 1.69500000e-08  1.69500000e-08  8.54238390e-01  1.15000000e+00 -7.66364485e-02 
 1.70500000e-08  1.70500000e-08  8.54204723e-01  1.15000000e+00 -7.60352091e-02 
 1.71500000e-08  1.71500000e-08  8.54170392e-01  1.15000000e+00 -7.54219598e-02 
 1.72500000e-08  1.72500000e-08  8.54135403e-01  1.15000000e+00 -7.47967964e-02 
 1.73500000e-08  1.73500000e-08  8.54099761e-01  1.15000000e+00 -7.41598169e-02 
 1.74500000e-08  1.74500000e-08  8.54063471e-01  1.15000000e+00 -7.35111208e-02 
 1.75500000e-08  1.75500000e-08  8.54026539e-01  1.15000000e+00 -7.28508099e-02 
 1.76500000e-08  1.76500000e-08  8.53988972e-01  1.15000000e+00 -7.21789874e-02 
 1.77500000e-08  1.77500000e-08  8.53950775e-01  1.15000000e+00 -7.14957587e-02 
 1.78500000e-08  1.78500000e-08  8.53911954e-01  1.15000000e+00 -7.08012308e-02 
 1.79500000e-08  1.79500000e-08  8.53872515e-01  1.15000000e+00 -7.00955126e-02 
 1.80500000e-08  1.80500000e-08  8.53832465e-01  1.15000000e+00 -6.93787147e-02 
 1.81500000e-08  1.81500000e-08  8.53791810e-01  1.15000000e+00 -6.86509494e-02 
 1.82500000e-08  1.82500000e-08  8.53750555e-01  1.15000000e+00 -6.79123310e-02 
 1.83500000e-08  1.83500000e-08  8.53708709e-01  1.15000000e+00 -6.71629753e-02 
 1.84500000e-08  1.84500000e-08  8.53666277e-01  1.15000000e+00 -6.64029998e-02 
 1.85500000e-08  1.85500000e-08  8.53623266e-01  1.15000000e+00 -6.56325240e-02 
 1.86500000e-08  1.86500000e-08  8.53579682e-01  1.15000000e+00 -6.48516688e-02 
 1.87500000e-08  1.87500000e-08  8.53535534e-01  1.15000000e+00 -6.40605567e-02 
 1.88500000e-08  1.88500000e-08  8.53490827e-01  1.15000000e+00 -6.32593121e-02 
 1.89500000e-08  1.89500000e-08  8.53445569e-01  1.15000000e+00 -6.24480609e-02 
 1.90500000e-08  1.90500000e-08  8.53399767e-01  1.15000000e+00 -6.16269305e-02 
 1.91500000e-08  1.91500000e-08  8.53353428e-01  1.15000000e+00 -6.07960501e-02 
 1.92500000e-08  1.92500000e-08  8.53306559e-01  1.15000000e+00 -5.99555503e-02 
 1.93500000e-08  1.93500000e-08  8.53259169e-01  1.15000000e+00 -5.91055633e-02 
 1.94500000e-08  1.94500000e-08  8.53211263e-01  1.15000000e+00 -5.82462228e-02 
 1.95500000e-08  1.95500000e-08  8.53162851e-01  1.15000000e+00 -5.73776640e-02 
 1.96500000e-08  1.96500000e-08  8.53113939e-01  1.15000000e+00 -5.65000237e-02 
 1.97500000e-08  1.97500000e-08  8.53064535e-01  1.15000000e+00 -5.56134400e-02 
 1.98500000e-08  1.98500000e-08  8.53014648e-01  1.15000000e+00 -5.47180526e-02 
 1.99500000e-08  1.99500000e-08  8.52964284e-01  1.15000000e+00 -5.38139942e-02 
 2.00500000e-08  2.00500000e-08  8.52913452e-01  1.15000000e+00 -5.29014170e-02 
 2.01500000e-08  2.01500000e-08  8.52862161e-01  1.15000000e+00 -5.19804720e-02 
 2.02500000e-08  2.02500000e-08  8.52810417e-01  1.15000000e+00 -5.10512936e-02 
 2.03500000e-08  2.03500000e-08  8.52758229e-01  1.15000000e+00 -5.01140307e-02 
 2.04500000e-08  2.04500000e-08  8.52705606e-01  1.15000000e+00 -4.91688311e-02 
 2.05500000e-08  2.05500000e-08  8.52652556e-01  1.15000000e+00 -4.82158434e-02 
 2.06500000e-08  2.06500000e-08  8.52599087e-01  1.15000000e+00 -4.72552184e-02 
 2.07500000e-08  2.07500000e-08  8.52545207e-01  1.15000000e+00 -4.62871074e-02 
 2.08500000e-08  2.08500000e-08  8.52490926e-01  1.15000000e+00 -4.53116635e-02 
 2.09500000e-08  2.09500000e-08  8.52436251e-01  1.15000000e+00 -4.43290405e-02 
 2.10500000e-08  2.10500000e-08  8.52381191e-01  1.15000000e+00 -4.33393936e-02 
 2.11500000e-08  2.11500000e-08  8.52325755e-01  1.15000000e+00 -4.23428792e-02 
 2.12500000e-08  2.12500000e-08  8.52269952e-01  1.15000000e+00 -4.13396548e-02 
 2.13500000e-08  2.13500000e-08  8.52213791e-01  1.15000000e+00 -4.03298787e-02 
 2.14500000e-08  2.14500000e-08  8.52157280e-01  1.15000000e+00 -3.93137107e-02 
 2.15500000e-08  2.15500000e-08  8.52100429e-01  1.15000000e+00 -3.82913114e-02 
 2.16500000e-08  2.16500000e-08  8.52043245e-01  1.15000000e+00 -3.72628425e-02 
 2.17500000e-08  2.17500000e-08  8.51985739e-01  1.15000000e+00 -3.62284665e-02 
 2.18500000e-08  2.18500000e-08  8.51927920e-01  1.15000000e+00 -3.51883472e-02 
 2.19500000e-08  2.19500000e-08  8.51869796e-01  1.15000000e+00 -3.41426490e-02 
 2.20500000e-08  2.20500000e-08  8.51811377e-01  1.15000000e+00 -3.30915375e-02 
 2.21500000e-08  2.21500000e-08  8.51752672e-01  1.15000000e+00 -3.20351790e-02 
 2.22500000e-08  2.22500000e-08  8.51693690e-01  1.15000000e+00 -3.09737407e-02 
 2.23500000e-08  2.23500000e-08  8.51634440e-01  1.15000000e+00 -2.99073907e-02 
 2.24500000e-08  2.24500000e-08  8.51574933e-01  1.15000000e+00 -2.88362977e-02 
 2.25500000e-08  2.25500000e-08  8.51515176e-01  1.15000000e+00 -2.77606315e-02 
