 frequency       gain_db         phase_deg      
 6.30957344e+04  1.26266382e+00  1.79999748e+02 
 6.49381632e+04  1.26266382e+00  1.79999741e+02 
 6.68343918e+04  1.26266382e+00  1.79999733e+02 
 6.87859912e+04  1.26266382e+00  1.79999725e+02 
 7.07945784e+04  1.26266382e+00  1.79999717e+02 
 7.28618175e+04  1.26266382e+00  1.79999709e+02 
 7.49894209e+04  1.26266382e+00  1.79999700e+02 
 7.71791516e+04  1.26266382e+00  1.79999692e+02 
 7.94328235e+04  1.26266382e+00  1.79999683e+02 
 8.17523038e+04  1.26266382e+00  1.79999673e+02 
 8.41395142e+04  1.26266382e+00  1.79999664e+02 
 8.65964323e+04  1.26266382e+00  1.79999654e+02 
 8.91250938e+04  1.26266382e+00  1.79999644e+02 
 9.17275935e+04  1.26266382e+00  1.79999634e+02 
 9.44060876e+04  1.26266382e+00  1.79999623e+02 
 9.71627952e+04  1.26266382e+00  1.79999612e+02 
 1.00000000e+05  1.26266382e+00  1.79999601e+02 
 1.02920053e+05  1.26266382e+00  1.79999589e+02 
 1.05925373e+05  1.26266382e+00  1.79999577e+02 
 1.09018449e+05  1.26266382e+00  1.79999565e+02 
 1.12201845e+05  1.26266382e+00  1.79999552e+02 
 1.15478198e+05  1.26266382e+00  1.79999539e+02 
 1.18850223e+05  1.26266382e+00  1.79999525e+02 
 1.22320712e+05  1.26266382e+00  1.79999511e+02 
 1.25892541e+05  1.26266382e+00  1.79999497e+02 
 1.29568670e+05  1.26266382e+00  1.79999482e+02 
 1.33352143e+05  1.26266382e+00  1.79999467e+02 
 1.37246096e+05  1.26266382e+00  1.79999452e+02 
 1.41253754e+05  1.26266382e+00  1.79999436e+02 
 1.45378439e+05  1.26266382e+00  1.79999419e+02 
 1.49623566e+05  1.26266382e+00  1.79999402e+02 
 1.53992653e+05  1.26266382e+00  1.79999385e+02 
 1.58489319e+05  1.26266382e+00  1.79999367e+02 
 1.63117291e+05  1.26266382e+00  1.79999349e+02 
 1.67880402e+05  1.26266382e+00  1.79999329e+02 
 1.72782598e+05  1.26266382e+00  1.79999310e+02 
 1.77827941e+05  1.26266382e+00  1.79999290e+02 
 1.83020611e+05  1.26266382e+00  1.79999269e+02 
 1.88364909e+05  1.26266382e+00  1.79999248e+02 
 1.93865264e+05  1.26266382e+00  1.79999226e+02 
 1.99526231e+05  1.26266382e+00  1.79999203e+02 
 2.05352503e+05  1.26266382e+00  1.79999180e+02 
 2.11348904e+05  1.26266382e+00  1.79999156e+02 
 2.17520403e+05  1.26266382e+00  1.79999131e+02 
 2.23872114e+05  1.26266382e+00  1.79999106e+02 
 2.30409298e+05  1.26266382e+00  1.79999080e+02 
 2.37137371e+05  1.26266382e+00  1.79999053e+02 
 2.44061907e+05  1.26266382e+00  1.79999025e+02 
 2.51188643e+05  1.26266382e+00  1.79998997e+02 
 2.58523484e+05  1.26266382e+00  1.79998967e+02 
 2.66072506e+05  1.26266382e+00  1.79998937e+02 
 2.73841963e+05  1.26266382e+00  1.79998906e+02 
 2.81838293e+05  1.26266382e+00  1.79998874e+02 
 2.90068120e+05  1.26266382e+00  1.79998841e+02 
 2.98538262e+05  1.26266382e+00  1.79998808e+02 
 3.07255737e+05  1.26266382e+00  1.79998773e+02 
 3.16227766e+05  1.26266382e+00  1.79998737e+02 
 3.25461783e+05  1.26266382e+00  1.79998700e+02 
 3.34965439e+05  1.26266382e+00  1.79998662e+02 
 3.44746607e+05  1.26266382e+00  1.79998623e+02 
 3.54813389e+05  1.26266382e+00  1.79998583e+02 
 3.65174127e+05  1.26266382e+00  1.79998541e+02 
 3.75837404e+05  1.26266382e+00  1.79998499e+02 
 3.86812055e+05  1.26266382e+00  1.79998455e+02 
 3.98107171e+05  1.26266382e+00  1.79998410e+02 
 4.09732110e+05  1.26266382e+00  1.79998364e+02 
 4.21696503e+05  1.26266382e+00  1.79998316e+02 
 4.34010264e+05  1.26266382e+00  1.79998267e+02 
 4.46683592e+05  1.26266382e+00  1.79998216e+02 
 4.59726989e+05  1.26266382e+00  1.79998164e+02 
 4.73151259e+05  1.26266382e+00  1.79998110e+02 
 4.86967525e+05  1.26266382e+00  1.79998055e+02 
 5.01187234e+05  1.26266382e+00  1.79997998e+02 
 5.15822165e+05  1.26266382e+00  1.79997940e+02 
 5.30884444e+05  1.26266382e+00  1.79997880e+02 
 5.46386550e+05  1.26266382e+00  1.79997818e+02 
 5.62341325e+05  1.26266382e+00  1.79997754e+02 
 5.78761988e+05  1.26266382e+00  1.79997688e+02 
 5.95662144e+05  1.26266382e+00  1.79997621e+02 
 6.13055792e+05  1.26266382e+00  1.79997551e+02 
 6.30957344e+05  1.26266382e+00  1.79997480e+02 
 6.49381632e+05  1.26266382e+00  1.79997406e+02 
 6.68343918e+05  1.26266382e+00  1.79997331e+02 
 6.87859912e+05  1.26266382e+00  1.79997253e+02 
 7.07945784e+05  1.26266382e+00  1.79997172e+02 
 7.28618175e+05  1.26266381e+00  1.79997090e+02 
 7.49894209e+05  1.26266381e+00  1.79997005e+02 
 7.71791516e+05  1.26266381e+00  1.79996917e+02 
 7.94328235e+05  1.26266381e+00  1.79996827e+02 
 8.17523038e+05  1.26266381e+00  1.79996735e+02 
 8.41395142e+05  1.26266381e+00  1.79996639e+02 
 8.65964323e+05  1.26266381e+00  1.79996541e+02 
 8.91250938e+05  1.26266381e+00  1.79996440e+02 
 9.17275935e+05  1.26266381e+00  1.79996336e+02 
 9.44060876e+05  1.26266381e+00  1.79996229e+02 
 9.71627952e+05  1.26266381e+00  1.79996119e+02 
 1.00000000e+06  1.26266381e+00  1.79996006e+02 
