 frequency       frequency       frequency       cgate           cgate          
 1.18850223e+06  1.18850223e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.25892541e+06  1.25892541e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.33352143e+06  1.33352143e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.41253754e+06  1.41253754e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.49623566e+06  1.49623566e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.58489319e+06  1.58489319e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.67880402e+06  1.67880402e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.77827941e+06  1.77827941e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.88364909e+06  1.88364909e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.99526231e+06  1.99526231e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.11348904e+06  2.11348904e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.23872114e+06  2.23872114e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.37137371e+06  2.37137371e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.51188643e+06  2.51188643e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.66072506e+06  2.66072506e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.81838293e+06  2.81838293e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.98538262e+06  2.98538262e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.16227766e+06  3.16227766e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.34965439e+06  3.34965439e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.54813389e+06  3.54813389e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.75837404e+06  3.75837404e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.98107171e+06  3.98107171e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 4.21696503e+06  4.21696503e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 4.46683592e+06  4.46683592e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 4.73151259e+06  4.73151259e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.01187234e+06  5.01187234e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.30884444e+06  5.30884444e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.62341325e+06  5.62341325e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.95662144e+06  5.95662144e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 6.30957344e+06  6.30957344e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 6.68343918e+06  6.68343918e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.07945784e+06  7.07945784e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.49894209e+06  7.49894209e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.94328235e+06  7.94328235e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 8.41395142e+06  8.41395142e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 8.91250938e+06  8.91250938e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 9.44060876e+06  9.44060876e+06  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.00000000e+07  1.00000000e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.05925373e+07  1.05925373e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.12201845e+07  1.12201845e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.18850223e+07  1.18850223e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.25892541e+07  1.25892541e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.33352143e+07  1.33352143e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.41253754e+07  1.41253754e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.49623566e+07  1.49623566e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.58489319e+07  1.58489319e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.67880402e+07  1.67880402e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.77827941e+07  1.77827941e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.88364909e+07  1.88364909e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.99526231e+07  1.99526231e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.11348904e+07  2.11348904e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.23872114e+07  2.23872114e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.37137371e+07  2.37137371e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.51188643e+07  2.51188643e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.66072506e+07  2.66072506e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.81838293e+07  2.81838293e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.98538262e+07  2.98538262e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.16227766e+07  3.16227766e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.34965439e+07  3.34965439e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.54813389e+07  3.54813389e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.75837404e+07  3.75837404e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.98107171e+07  3.98107171e+07  0.00000000e+00  9.01655884e-14  0.00000000e+00 
