 frequency       frequency       frequency       vdb(out)        vp(out)        
 1.72782598e+02  1.72782598e+02  0.00000000e+00  1.11448980e+02  1.82816658e+00 
 1.77827941e+02  1.77827941e+02  0.00000000e+00  1.11214748e+02  1.82116993e+00 
 1.83020611e+02  1.83020611e+02  0.00000000e+00  1.10979688e+02  1.81434771e+00 
 1.88364909e+02  1.88364909e+02  0.00000000e+00  1.10743839e+02  1.80769681e+00 
 1.93865264e+02  1.93865264e+02  0.00000000e+00  1.10507240e+02  1.80121409e+00 
 1.99526231e+02  1.99526231e+02  0.00000000e+00  1.10269930e+02  1.79489635e+00 
 2.05352503e+02  2.05352503e+02  0.00000000e+00  1.10031945e+02  1.78874037e+00 
 2.11348904e+02  2.11348904e+02  0.00000000e+00  1.09793318e+02  1.78274293e+00 
 2.17520403e+02  2.17520403e+02  0.00000000e+00  1.09554082e+02  1.77690077e+00 
 2.23872114e+02  2.23872114e+02  0.00000000e+00  1.09314268e+02  1.77121067e+00 
 2.30409298e+02  2.30409298e+02  0.00000000e+00  1.09073907e+02  1.76566937e+00 
 2.37137371e+02  2.37137371e+02  0.00000000e+00  1.08833026e+02  1.76027365e+00 
 2.44061907e+02  2.44061907e+02  0.00000000e+00  1.08591653e+02  1.75502030e+00 
 2.51188643e+02  2.51188643e+02  0.00000000e+00  1.08349813e+02  1.74990612e+00 
 2.58523484e+02  2.58523484e+02  0.00000000e+00  1.08107530e+02  1.74492796e+00 
 2.66072506e+02  2.66072506e+02  0.00000000e+00  1.07864829e+02  1.74008266e+00 
 2.73841963e+02  2.73841963e+02  0.00000000e+00  1.07621730e+02  1.73536714e+00 
 2.81838293e+02  2.81838293e+02  0.00000000e+00  1.07378255e+02  1.73077831e+00 
 2.90068120e+02  2.90068120e+02  0.00000000e+00  1.07134425e+02  1.72631317e+00 
 2.98538262e+02  2.98538262e+02  0.00000000e+00  1.06890257e+02  1.72196870e+00 
 3.07255737e+02  3.07255737e+02  0.00000000e+00  1.06645770e+02  1.71774199e+00 
 3.16227766e+02  3.16227766e+02  0.00000000e+00  1.06400982e+02  1.71363012e+00 
 3.25461783e+02  3.25461783e+02  0.00000000e+00  1.06155907e+02  1.70963024e+00 
 3.34965439e+02  3.34965439e+02  0.00000000e+00  1.05910562e+02  1.70573957e+00 
 3.44746607e+02  3.44746607e+02  0.00000000e+00  1.05664962e+02  1.70195534e+00 
 3.54813389e+02  3.54813389e+02  0.00000000e+00  1.05419119e+02  1.69827485e+00 
 3.65174127e+02  3.65174127e+02  0.00000000e+00  1.05173047e+02  1.69469545e+00 
 3.75837404e+02  3.75837404e+02  0.00000000e+00  1.04926759e+02  1.69121455e+00 
 3.86812055e+02  3.86812055e+02  0.00000000e+00  1.04680266e+02  1.68782960e+00 
 3.98107171e+02  3.98107171e+02  0.00000000e+00  1.04433580e+02  1.68453810e+00 
 4.09732110e+02  4.09732110e+02  0.00000000e+00  1.04186711e+02  1.68133761e+00 
 4.21696503e+02  4.21696503e+02  0.00000000e+00  1.03939668e+02  1.67822575e+00 
 4.34010264e+02  4.34010264e+02  0.00000000e+00  1.03692462e+02  1.67520018e+00 
 4.46683592e+02  4.46683592e+02  0.00000000e+00  1.03445101e+02  1.67225861e+00 
 4.59726989e+02  4.59726989e+02  0.00000000e+00  1.03197594e+02  1.66939881e+00 
 4.73151259e+02  4.73151259e+02  0.00000000e+00  1.02949949e+02  1.66661859e+00 
 4.86967525e+02  4.86967525e+02  0.00000000e+00  1.02702174e+02  1.66391584e+00 
 5.01187234e+02  5.01187234e+02  0.00000000e+00  1.02454275e+02  1.66128845e+00 
 5.15822165e+02  5.15822165e+02  0.00000000e+00  1.02206259e+02  1.65873441e+00 
 5.30884444e+02  5.30884444e+02  0.00000000e+00  1.01958134e+02  1.65625173e+00 
 5.46386550e+02  5.46386550e+02  0.00000000e+00  1.01709904e+02  1.65383848e+00 
 5.62341325e+02  5.62341325e+02  0.00000000e+00  1.01461575e+02  1.65149277e+00 
