 time            time            v(n1)           v(n2)           v(n3)           v(n4)           v(n5)          
 7.48579830e-11  7.48579830e-11  8.03969179e-03  2.43168687e+00  1.28794217e-01  2.19860713e+00  1.42631482e+00 
 7.58579830e-11  7.58579830e-11  1.21701246e-02  2.43564051e+00  1.23378344e-01  2.21090575e+00  1.37818505e+00 
 7.68579830e-11  7.68579830e-11  1.72990825e-02  2.43949152e+00  1.18173293e-01  2.22263106e+00  1.33039768e+00 
 7.78579830e-11  7.78579830e-11  2.34913053e-02  2.44325210e+00  1.13173777e-01  2.23381723e+00  1.28307615e+00 
 7.88579830e-11  7.88579830e-11  3.07776053e-02  2.44693138e+00  1.08374128e-01  2.24451806e+00  1.23627864e+00 
 7.98579830e-11  7.98579830e-11  3.92184626e-02  2.45054008e+00  1.03768609e-01  2.25475972e+00  1.19011541e+00 
 8.08579830e-11  8.08579830e-11  4.89030631e-02  2.45409048e+00  9.93516804e-02  2.26454528e+00  1.14474313e+00 
 8.18579830e-11  8.18579830e-11  5.98857361e-02  2.45759187e+00  9.51177413e-02  2.27390195e+00  1.10024732e+00 
 8.28579830e-11  8.28579830e-11  7.22187627e-02  2.46105306e+00  9.10611497e-02  2.28285506e+00  1.05670347e+00 
 8.38579830e-11  8.38579830e-11  8.59528276e-02  2.46448246e+00  8.71762489e-02  2.29142814e+00  1.01417726e+00 
 8.48579830e-11  8.48579830e-11  1.01137631e-01  2.46788820e+00  8.34573938e-02  2.29964296e+00  9.72724598e-01 
 8.58579830e-11  8.58579830e-11  1.17822736e-01  2.47127826e+00  7.98989759e-02  2.30751962e+00  9.32391619e-01 
 8.68579830e-11  8.68579830e-11  1.36058769e-01  2.47466069e+00  7.64954466e-02  2.31507667e+00  8.93214580e-01 
 8.78579830e-11  8.78579830e-11  1.55890882e-01  2.47804282e+00  7.32412698e-02  2.32233105e+00  8.55218793e-01 
 8.88579830e-11  8.88579830e-11  1.77348778e-01  2.48143024e+00  7.01308472e-02  2.32929806e+00  8.18416631e-01 
 8.98579830e-11  8.98579830e-11  2.00474736e-01  2.48483011e+00  6.71587599e-02  2.33599135e+00  7.82806468e-01 
 9.08579830e-11  9.08579830e-11  2.25342901e-01  2.48825336e+00  6.43198707e-02  2.34242267e+00  7.48366749e-01 
 9.18579830e-11  9.18579830e-11  2.52064757e-01  2.49171509e+00  6.16092093e-02  2.34860071e+00  7.15037789e-01 
 9.28579830e-11  9.28579830e-11  2.80843802e-01  2.49524070e+00  5.90219976e-02  2.35452786e+00  6.82669410e-01 
 9.38579830e-11  9.38579830e-11  3.11812300e-01  2.49884683e+00  5.65532366e-02  2.36020803e+00  6.51138840e-01 
