 time            time            v(q)            v(qb)          
 1.60284768e-10  1.60284768e-10  4.20318379e-03  2.49565402e+00 
 1.60784768e-10  1.60784768e-10  4.10071836e-03  2.49575899e+00 
 1.61284768e-10  1.61284768e-10  4.00075008e-03  2.49586144e+00 
 1.61784768e-10  1.61784768e-10  3.90321821e-03  2.49596142e+00 
 1.62284768e-10  1.62284768e-10  3.80806348e-03  2.49605899e+00 
 1.62784768e-10  1.62784768e-10  3.71522805e-03  2.49615421e+00 
 1.63284768e-10  1.63284768e-10  3.62465549e-03  2.49624714e+00 
 1.63784768e-10  1.63784768e-10  3.53629073e-03  2.49633783e+00 
 1.64284768e-10  1.64284768e-10  3.45008002e-03  2.49642634e+00 
 1.64784768e-10  1.64784768e-10  3.36597095e-03  2.49651272e+00 
 1.65284768e-10  1.65284768e-10  3.28391233e-03  2.49659701e+00 
 1.65784768e-10  1.65784768e-10  3.20385425e-03  2.49667927e+00 
 1.66284768e-10  1.66284768e-10  3.12574799e-03  2.49675955e+00 
 1.66784768e-10  1.66784768e-10  3.04954601e-03  2.49683790e+00 
 1.67284768e-10  1.67284768e-10  2.97520195e-03  2.49691436e+00 
 1.67784768e-10  1.67784768e-10  2.90267054e-03  2.49698897e+00 
 1.68284768e-10  1.68284768e-10  2.83190764e-03  2.49706179e+00 
 1.68784768e-10  1.68784768e-10  2.76287014e-03  2.49713285e+00 
 1.69284768e-10  1.69284768e-10  2.69551602e-03  2.49720219e+00 
 1.69784768e-10  1.69784768e-10  2.62980426e-03  2.49726986e+00 
 1.70284768e-10  1.70284768e-10  2.56569484e-03  2.49733590e+00 
 1.70784768e-10  1.70784768e-10  2.50314871e-03  2.49740035e+00 
 1.71284768e-10  1.71284768e-10  2.44212777e-03  2.49746324e+00 
 1.71784768e-10  1.71784768e-10  2.38259485e-03  2.49752462e+00 
 1.72284768e-10  1.72284768e-10  2.32451367e-03  2.49758451e+00 
 1.72784768e-10  1.72784768e-10  2.26784886e-03  2.49764296e+00 
 1.73284768e-10  1.73284768e-10  2.21256587e-03  2.49770000e+00 
 1.73784768e-10  1.73784768e-10  2.15863104e-03  2.49775566e+00 
 1.74284768e-10  1.74284768e-10  2.10601148e-03  2.49780998e+00 
 1.74784768e-10  1.74784768e-10  2.05467513e-03  2.49786298e+00 
 1.75284768e-10  1.75284768e-10  2.00459070e-03  2.49791471e+00 
 1.75784768e-10  1.75784768e-10  1.95572767e-03  2.49796518e+00 
 1.76284768e-10  1.76284768e-10  1.90805626e-03  2.49801444e+00 
