 3.01995172e+01  3.01995172e+01  0.00000000e+00  3.01995172e+01 -1.25720065e+02  3.01995172e+01  1.50896624e-03 
 3.05492111e+01  3.05492111e+01  0.00000000e+00  3.05492111e+01 -1.25720065e+02  3.05492111e+01  1.52643942e-03 
 3.09029543e+01  3.09029543e+01  0.00000000e+00  3.09029543e+01 -1.25720064e+02  3.09029543e+01  1.54411431e-03 
 3.12607937e+01  3.12607937e+01  0.00000000e+00  3.12607937e+01 -1.25720064e+02  3.12607937e+01  1.56199444e-03 
 3.16227766e+01  3.16227766e+01  0.00000000e+00  3.16227766e+01 -1.25720064e+02  3.16227766e+01  1.58008175e-03 
 3.19889511e+01  3.19889511e+01  0.00000000e+00  3.19889511e+01 -1.25720064e+02  3.19889511e+01  1.59837799e-03 
 3.23593657e+01  3.23593657e+01  0.00000000e+00  3.23593657e+01 -1.25720063e+02  3.23593657e+01  1.61688643e-03 
 3.27340695e+01  3.27340695e+01  0.00000000e+00  3.27340695e+01 -1.25720063e+02  3.27340695e+01  1.63560887e-03 
 3.31131121e+01  3.31131121e+01  0.00000000e+00  3.31131121e+01 -1.25720063e+02  3.31131121e+01  1.65454853e-03 
 3.34965439e+01  3.34965439e+01  0.00000000e+00  3.34965439e+01 -1.25720063e+02  3.34965439e+01  1.67370714e-03 
 3.38844156e+01  3.38844156e+01  0.00000000e+00  3.38844156e+01 -1.25720062e+02  3.38844156e+01  1.69308763e-03 
 3.42767787e+01  3.42767787e+01  0.00000000e+00  3.42767787e+01 -1.25720062e+02  3.42767787e+01  1.71269256e-03 
 3.46736850e+01  3.46736850e+01  0.00000000e+00  3.46736850e+01 -1.25720062e+02  3.46736850e+01  1.73252469e-03 
 3.50751874e+01  3.50751874e+01  0.00000000e+00  3.50751874e+01 -1.25720061e+02  3.50751874e+01  1.75258641e-03 
 3.54813389e+01  3.54813389e+01  0.00000000e+00  3.54813389e+01 -1.25720061e+02  3.54813389e+01  1.77288022e-03 
 3.58921935e+01  3.58921935e+01  0.00000000e+00  3.58921935e+01 -1.25720061e+02  3.58921935e+01  1.79340931e-03 
 3.63078055e+01  3.63078055e+01  0.00000000e+00  3.63078055e+01 -1.25720060e+02  3.63078055e+01  1.81417592e-03 
 3.67282300e+01  3.67282300e+01  0.00000000e+00  3.67282300e+01 -1.25720060e+02  3.67282300e+01  1.83518308e-03 
 3.71535229e+01  3.71535229e+01  0.00000000e+00  3.71535229e+01 -1.25720060e+02  3.71535229e+01  1.85643339e-03 
 3.75837404e+01  3.75837404e+01  0.00000000e+00  3.75837404e+01 -1.25720059e+02  3.75837404e+01  1.87792974e-03 
 3.80189396e+01  3.80189396e+01  0.00000000e+00  3.80189396e+01 -1.25720059e+02  3.80189396e+01  1.89967512e-03 
 3.84591782e+01  3.84591782e+01  0.00000000e+00  3.84591782e+01 -1.25720059e+02  3.84591782e+01  1.92167235e-03 
