 2.54097271e+00  2.54097271e+00  0.00000000e+00  2.54097271e+00  9.36247013e+01  2.54097271e+00  3.13614385e+00 
 2.57039578e+00  2.57039578e+00  0.00000000e+00  2.57039578e+00  9.36246984e+01  2.57039578e+00  3.13608076e+00 
 2.60015956e+00  2.60015956e+00  0.00000000e+00  2.60015956e+00  9.36246955e+01  2.60015956e+00  3.13601694e+00 
 2.63026799e+00  2.63026799e+00  0.00000000e+00  2.63026799e+00  9.36246925e+01  2.63026799e+00  3.13595238e+00 
 2.66072506e+00  2.66072506e+00  0.00000000e+00  2.66072506e+00  9.36246894e+01  2.66072506e+00  3.13588707e+00 
 2.69153480e+00  2.69153480e+00  0.00000000e+00  2.69153480e+00  9.36246862e+01  2.69153480e+00  3.13582100e+00 
 2.72270131e+00  2.72270131e+00  0.00000000e+00  2.72270131e+00  9.36246830e+01  2.72270131e+00  3.13575417e+00 
 2.75422870e+00  2.75422870e+00  0.00000000e+00  2.75422870e+00  9.36246797e+01  2.75422870e+00  3.13568656e+00 
 2.78612117e+00  2.78612117e+00  0.00000000e+00  2.78612117e+00  9.36246763e+01  2.78612117e+00  3.13561818e+00 
 2.81838293e+00  2.81838293e+00  0.00000000e+00  2.81838293e+00  9.36246729e+01  2.81838293e+00  3.13554900e+00 
 2.85101827e+00  2.85101827e+00  0.00000000e+00  2.85101827e+00  9.36246694e+01  2.85101827e+00  3.13547902e+00 
 2.88403150e+00  2.88403150e+00  0.00000000e+00  2.88403150e+00  9.36246657e+01  2.88403150e+00  3.13540822e+00 
 2.91742701e+00  2.91742701e+00  0.00000000e+00  2.91742701e+00  9.36246620e+01  2.91742701e+00  3.13533661e+00 
 2.95120923e+00  2.95120923e+00  0.00000000e+00  2.95120923e+00  9.36246582e+01  2.95120923e+00  3.13526417e+00 
 2.98538262e+00  2.98538262e+00  0.00000000e+00  2.98538262e+00  9.36246544e+01  2.98538262e+00  3.13519090e+00 
 3.01995172e+00  3.01995172e+00  0.00000000e+00  3.01995172e+00  9.36246504e+01  3.01995172e+00  3.13511677e+00 
 3.05492111e+00  3.05492111e+00  0.00000000e+00  3.05492111e+00  9.36246463e+01  3.05492111e+00  3.13504178e+00 
 3.09029543e+00  3.09029543e+00  0.00000000e+00  3.09029543e+00  9.36246422e+01  3.09029543e+00  3.13496593e+00 
 3.12607937e+00  3.12607937e+00  0.00000000e+00  3.12607937e+00  9.36246379e+01  3.12607937e+00  3.13488920e+00 
 3.16227766e+00  3.16227766e+00  0.00000000e+00  3.16227766e+00  9.36246336e+01  3.16227766e+00  3.13481158e+00 
 3.19889511e+00  3.19889511e+00  0.00000000e+00  3.19889511e+00  9.36246291e+01  3.19889511e+00  3.13473306e+00 
 3.23593657e+00  3.23593657e+00  0.00000000e+00  3.23593657e+00  9.36246246e+01  3.23593657e+00  3.13465363e+00 
 3.27340695e+00  3.27340695e+00  0.00000000e+00  3.27340695e+00  9.36246199e+01  3.27340695e+00  3.13457328e+00 
 3.31131121e+00  3.31131121e+00  0.00000000e+00  3.31131121e+00  9.36246151e+01  3.31131121e+00  3.13449201e+00 
 3.34965439e+00  3.34965439e+00  0.00000000e+00  3.34965439e+00  9.36246102e+01  3.34965439e+00  3.13440979e+00 
 3.38844156e+00  3.38844156e+00  0.00000000e+00  3.38844156e+00  9.36246052e+01  3.38844156e+00  3.13432662e+00 
 3.42767787e+00  3.42767787e+00  0.00000000e+00  3.42767787e+00  9.36246001e+01  3.42767787e+00  3.13424248e+00 
 3.46736850e+00  3.46736850e+00  0.00000000e+00  3.46736850e+00  9.36245949e+01  3.46736850e+00  3.13415737e+00 
 3.50751874e+00  3.50751874e+00  0.00000000e+00  3.50751874e+00  9.36245895e+01  3.50751874e+00  3.13407128e+00 
