 3.02800000e-08  3.02800000e-08  3.02800000e-08  3.28834111e+00  3.02800000e-08  3.09987804e+00  3.02800000e-08  1.19995279e+00  3.02800000e-08  2.70421460e+00  3.02800000e-08  5.20891350e-01  3.02800000e-08 -1.26881411e-04 
 3.12800000e-08  3.12800000e-08  3.12800000e-08  3.28836889e+00  3.12800000e-08  3.09986191e+00  3.12800000e-08  1.19994655e+00  3.12800000e-08  2.70424162e+00  3.12800000e-08  5.23524095e-01  3.12800000e-08 -1.27162967e-04 
 3.22800000e-08  3.22800000e-08  3.22800000e-08  3.28839667e+00  3.22800000e-08  3.09984776e+00  3.22800000e-08  1.19994107e+00  3.22800000e-08  2.70426854e+00  3.22800000e-08  5.26506757e-01  3.22800000e-08 -1.25557921e-04 
 3.32800000e-08  3.32800000e-08  3.32800000e-08  3.28842444e+00  3.32800000e-08  3.09983579e+00  3.32800000e-08  1.19993643e+00  3.32800000e-08  2.70429539e+00  3.32800000e-08  5.29790844e-01  3.32800000e-08 -1.22104467e-04 
 3.42800000e-08  3.42800000e-08  3.42800000e-08  3.28845222e+00  3.42800000e-08  3.09982614e+00  3.42800000e-08  1.19993270e+00  3.42800000e-08  2.70432219e+00  3.42800000e-08  5.33323787e-01  3.42800000e-08 -1.16869106e-04 
 3.52800000e-08  3.52800000e-08  3.52800000e-08  3.28848000e+00  3.52800000e-08  3.09981895e+00  3.52800000e-08  1.19992991e+00  3.52800000e-08  2.70434894e+00  3.52800000e-08  5.37049777e-01  3.52800000e-08 -1.09945242e-04 
 3.62800000e-08  3.62800000e-08  3.62800000e-08  3.28850778e+00  3.62800000e-08  3.09981429e+00  3.62800000e-08  1.19992811e+00  3.62800000e-08  2.70437567e+00  3.62800000e-08  5.40910643e-01  3.62800000e-08 -1.01451393e-04 
 3.72800000e-08  3.72800000e-08  3.72800000e-08  3.28853556e+00  3.72800000e-08  3.09981222e+00  3.72800000e-08  1.19992731e+00  3.72800000e-08  2.70440238e+00  3.72800000e-08  5.44846761e-01  3.72800000e-08 -9.15290726e-05 
 3.82800000e-08  3.82800000e-08  3.82800000e-08  3.28856333e+00  3.82800000e-08  3.09981273e+00  3.82800000e-08  1.19992751e+00  3.82800000e-08  2.70442910e+00  3.82800000e-08  5.48797969e-01  3.82800000e-08 -8.03403371e-05 
 3.92800000e-08  3.92800000e-08  3.92800000e-08  3.28859111e+00  3.92800000e-08  3.09981580e+00  3.92800000e-08  1.19992870e+00  3.92800000e-08  2.70445584e+00  3.92800000e-08  5.52704480e-01  3.92800000e-08 -6.80650740e-05 
 4.02800000e-08  4.02800000e-08  4.02800000e-08  3.28861889e+00  4.02800000e-08  3.09982135e+00  4.02800000e-08  1.19993085e+00  4.02800000e-08  2.70448262e+00  4.02800000e-08  5.56507791e-01  4.02800000e-08 -5.48980469e-05 
